Plot,Block,Side,Crop,Crop_ID,Corn_weed_management,AMATA_number,AMATA_gram,sample_area_m_sq,g_m_sq,plant_m_sq,Year,Rotation,Total,Female,Male,F_prop
11,1,W,soybean,S3,conv,5,119.21,18.532,6.432657026,0.269803583,2018,3-year,100,36,64,0.36
11,1,E,soybean,S3,low,0,0,18.532,0,0,2018,3-year,99,39,60,0.393939394
12,1,W,alfalfa,A4,conv,9,1.04,2,0.52,4.5,2018,4-year,37,29,8,0.783783784
12,1,E,alfalfa,A4,low,3,0.01,2,0.005,1.5,2018,4-year,8,7,1,0.875
13,1,W,corn,C2,low,15,30.91,18.532,1.66792575,0.809410749,2018,2-year,98,53,45,0.540816327
13,1,E,corn,C2,conv,1,0.37,18.532,0.019965465,0.053960717,2018,2-year,100,61,39,0.61
14,1,W,soybean,S4,low,7,267.03,18.532,14.40913015,0.377725016,2018,4-year,103,46,57,0.446601942
14,1,E,soybean,S4,conv,6,57.37,18.532,3.095726311,0.3237643,2018,4-year,106,61,45,0.575471698
15,1,W,corn,C3,conv,1,8.46,18.532,0.456507662,0.053960717,2018,3-year,9,7,2,0.777777778
15,1,E,corn,C3,low,0,0,18.532,0,0,2018,3-year,20,17,3,0.85
16,1,W,oat,O3,conv,39,33.77,2,16.885,19.5,2018,3-year,100,74,26,0.74
16,1,E,oat,O3,low,97,70.73,2,35.365,48.5,2018,3-year,100,77,23,0.77
17,1,W,oat,O4,low,64,122.38,2,61.19,32,2018,4-year,100,82,18,0.82
17,1,E,oat,O4,conv,17,83.33,2,41.665,8.5,2018,4-year,102,81,21,0.794117647
18,1,W,corn,C4,low,5,0.2,18.532,0.010792143,0.269803583,2018,4-year,36,25,11,0.694444444
18,1,E,corn,C4,conv,0,0,18.532,0,0,2018,4-year,14,10,4,0.714285714
19,1,W,soybean,S2,low,83,589.7,18.532,31.82063458,4.478739478,2018,2-year,101,49,52,0.485148515
19,1,E,soybean,S2,conv,30,1723.27,18.532,92.98888409,1.618821498,2018,2-year,100,40,60,0.4
21,2,W,alfalfa,A4,low,2,0.06,2,0.03,1,2018,4-year,67,51,16,0.76119403
21,2,E,alfalfa,A4,conv,1,0.18,2,0.09,0.5,2018,4-year,80,32,48,0.4
22,2,W,oat,O4,conv,23,43.2,2,21.6,11.5,2018,4-year,104,88,16,0.846153846
