"Plot","Block","Side","Crop","Crop_ID","Corn_weed_management","AMATA_gram","AMATA_number","sample_area_m_sq","g_m_sq","plant_m_sq","Year","Female","Male","Total","Rotation"
"11","1","W","oat","O3","conv",18.18,89,2.24,8.116071429,39.73214286,"2019",19,17,36,"3-year"
"11","1","E","oat","O3","low",9.67,158,2.24,4.316964286,70.53571429,"2019",24,14,38,"3-year"
"12","1","W","corn","C4","low",0,0,2.24,0,0,"2019",0,0,0,"4-year"
"12","1","E","corn","C4","conv",0,0,2.24,0,0,"2019",0,0,0,"4-year"
"13","1","W","soybean","S2","low",0.75,1,18.532,0.040470537,0.053960717,"2019",0,0,0,"2-year"
"13","1","E","soybean","S2","conv",3.21,3,18.532,0.1732139,0.16188215,"2019",0,0,0,"2-year"
"14","1","W","oat","O4","low",88.44,308,2.24,39.48214286,137.5,"2019",68,25,97,"4-year"
"14","1","E","oat","O4","conv",84.23,360,2.24,37.60267857,160.7142857,"2019",142,92,250,"4-year"
"15","1","W","soybean","S3","conv",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"15","1","E","soybean","S3","low",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"16","1","W","corn","C3","conv",0.31,4,2.24,0.138392857,1.785714286,"2019",7,8,30,"3-year"
"16","1","E","corn","C3","low",0.94,5,2.24,0.419642857,2.232142857,"2019",4,4,27,"3-year"
"17","1","W","alfalfa","A4","conv",7.18,175,2.24,3.205357143,78.125,"2019",0,0,0,"4-year"
"17","1","E","alfalfa","A4","low",0.92,44,2.24,0.410714286,19.64285714,"2019",0,0,0,"4-year"
"18","1","W","soybean","S4","low",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"18","1","E","soybean","S4","conv",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"19","1","W","corn","C2","low",0.28,2,2.24,0.125,0.892857143,"2019",3,2,11,"2-year"
"19","1","E","corn","C2","conv",1.82,9,2.24,0.8125,4.017857143,"2019",32,25,72,"2-year"
"21","2","W","corn","C4","conv",0,0,2.24,0,0,"2019",0,0,0,"4-year"
"21","2","E","corn","C4","low",10.86,2,2.24,4.848214286,0.892857143,"2019",0,0,0,"4-year"
"22","2","W","alfalfa","A4","low",0.39,18,2.24,0.174107143,8.035714286,"2019",0,0,0,"4-year"
"22","2","E","alfalfa","A4","conv",4.69,44,2.24,2.09375,19.64285714,"2019",0,0,0,"4-year"
"23","2","W","oat","O3","low",2.75,19,2.24,1.227678571,8.482142857,"2019",0,0,0,"3-year"
"23","2","E","oat","O3","conv",7.04,66,2.24,3.142857143,29.46428571,"2019",0,0,0,"3-year"
"24","2","W","soybean","S2","conv",0,NA,18.532,0,0,"2019",0,0,0,"2-year"
"24","2","E","soybean","S2","low",1.63,3,18.532,0.087955968,0.16188215,"2019",0,0,0,"2-year"
"25","2","W","corn","C3","conv",0.93,8,2.24,0.415178571,3.571428571,"2019",0,0,0,"3-year"
"25","2","E","corn","C3","low",6.83,18,2.24,3.049107143,8.035714286,"2019",0,0,0,"3-year"
"26","2","W","soybean","S3","conv",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"26","2","E","soybean","S3","low",0,0,18.532,0,0,"2019",0,0,0,"3-year"
"27","2","W","corn","C2","low",4.77,9,2.24,2.129464286,4.017857143,"2019",0,0,0,"2-year"
"27","2","E","corn","C2","conv",0.15,3,2.24,0.066964286,1.339285714,"2019",0,0,0,"2-year"
"28","2","W","soybean","S4","conv",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"28","2","E","soybean","S4","low",0,0,18.532,0,0,"2019",0,0,0,"4-year"
"29","2","W","oat","O4","conv",104.05,314,2.24,46.45089286,140.1785714,"2019",83,36,119,"4-year"
"29","2","E","oat","O4","low",70.59,240,2.24,31.51339286,107.1428571,"2019",49,38,87,"4-year"
"31","3","W","corn","C4","low",0.03,3,2.24,0.013392857,1.339285714,"2019",0,0,0,"4-year"
"31","3","E","corn","C4","conv",0.04,4,2.24,0.017857143,1.785714286,"2019",0,0,0,"4-year"
"32","3","W","oat","O4","low",14.84,87,2.24,6.625,38.83928571,"2019",44,36,102,"4-year"
"32","3","E","oat","O4","conv",58.1,208,2.24,25.9375,92.85714286,"2019",121,80,229,"4-year"
