Plot,Side,Quadrat,Cohort,Rotation,Block,Herbicide,Corn_weed_management,Crop,Crop_ID,Total,Female,Male,Unknown,ID,Year,Number_begin,Total_sexed
14,E,2,1,4-year,1,conv,conv,oat,O4,26,23,2,1,14_E_2_1,2019,90,25
14,E,8,1,4-year,1,conv,conv,oat,O4,46,21,22,3,14_E_8_1,2019,71,43
16,W,4,1,3-year,1,conv,conv,corn,C3,6,2,1,3,16_W_4_1,2019,32,3
16,W,5,1,3-year,1,conv,conv,corn,C3,3,1,1,1,16_W_5_1,2019,17,2
19,E,2,2,2-year,1,conv,conv,corn,C2,5,1,2,2,19_E_2_2,2019,87,3
19,E,2,1,2-year,1,conv,conv,corn,C2,8,5,2,1,19_E_2_1,2019,56,7
19,E,3,1,2-year,1,conv,conv,corn,C2,7,3,2,2,19_E_3_1,2019,106,5
19,E,8,2,2-year,1,conv,conv,corn,C2,5,1,1,3,19_E_8_2,2019,49,2
25,E,4,1,3-year,2,conv,conv,corn,C3,18,8,9,1,25_E_4_1,2019,58,17
25,E,5,1,3-year,2,conv,conv,corn,C3,16,8,7,1,25_E_5_1,2019,65,15
25,W,1,3,3-year,2,low,low,corn,C3,4,2,1,1,25_W_1_3,2019,7,3
25,W,2,2,3-year,2,low,low,corn,C3,10,1,2,7,25_W_2_2,2019,11,3
25,W,5,2,3-year,2,low,low,corn,C3,3,1,1,1,25_W_5_2,2019,3,2
27,E,2,2,2-year,2,low,low,corn,C2,4,2,1,1,27_E_2_2,2019,76,3
27,W,1,1,2-year,2,conv,conv,corn,C2,25,15,9,1,27_W_1_1,2019,61,24
27,W,1,2,2-year,2,conv,conv,corn,C2,8,3,3,2,27_W_1_2,2019,23,6
27,W,4,1,2-year,2,conv,conv,corn,C2,31,11,16,4,27_W_4_1,2019,140,27
27,W,7,1,2-year,2,conv,conv,corn,C2,36,20,15,1,27_W_7_1,2019,149,35
27,W,8,1,2-year,2,conv,conv,corn,C2,16,6,7,3,27_W_8_1,2019,179,13
31,W,2,2,4-year,3,conv,conv,corn,C4,8,1,3,4,31_W_2_2,2019,13,4
32,E,2,2,4-year,3,conv,conv,oat,O4,3,1,1,1,32_E_2_2,2019,24,2
32,E,4,2,4-year,3,conv,conv,oat,O4,16,3,5,8,32_E_4_2,2019,53,8
32,E,5,3,4-year,3,conv,conv,oat,O4,5,3,1,1,32_E_5_3,2019,6,4
32,E,6,3,4-year,3,conv,conv,oat,O4,17,10,6,1,32_E_6_3,2019,23,16
32,E,7,3,4-year,3,conv,conv,oat,O4,28,16,11,1,32_E_7_3,2019,32,27
32,E,8,2,4-year,3,conv,conv,oat,O4,29,20,6,3,32_E_8_2,2019,199,26
32,W,7,1,4-year,3,low,low,oat,O4,9,4,2,3,32_W_7_1,2019,65,6
32,W,8,3,4-year,3,low,low,oat,O4,5,3,1,1,32_W_8_3,2019,29,4
32,W,8,4,4-year,3,low,low,oat,O4,5,2,1,2,32_W_8_4,2019,6,3
32,W,8,1,4-year,3,low,low,oat,O4,26,12,7,7,32_W_8_1,2019,137,19
33,E,1,3,3-year,3,conv,conv,corn,C3,8,1,1,6,33_E_1_3,2019,21,2
35,W,6,1,2-year,3,low,low,corn,C2,5,1,2,2,35_W_6_1,2019,142,3
35,W,8,2,2-year,3,low,low,corn,C2,6,1,1,4,35_W_8_2,2019,19,2
42,W,8,1,3-year,4,conv,conv,corn,C3,5,2,2,1,42_W_8_1,2019,21,4
45,E,3,2,2-year,4,conv,conv,corn,C2,6,3,1,2,45_E_3_2,2019,24,4
45,E,6,2,2-year,4,conv,conv,corn,C2,31,3,11,17,45_E_6_2,2019,152,14
45,E,7,2,2-year,4,conv,conv,corn,C2,15,2,4,9,45_E_7_2,2019,116,6
45,W,2,2,2-year,4,low,low,corn,C2,30,6,10,14,45_W_2_2,2019,89,16
45,W,3,2,2-year,4,low,low,corn,C2,17,1,10,6,45_W_3_2,2019,60,11
45,W,4,2,2-year,4,low,low,corn,C2,30,4,7,19,45_W_4_2,2019,123,11
45,W,5,2,2-year,4,low,low,corn,C2,8,1,2,5,45_W_5_2,2019,20,3
45,W,7,2,2-year,4,low,low,corn,C2,19,3,3,13,45_W_7_2,2019,70,6
49,E,4,1,4-year,4,conv,conv,oat,O4,4,2,1,1,49_E_4_1,2019,58,3
11,E,1,1,3-year,1,low,low,oat,O3,1,1,0,0,11_E_1_1,2019,59,1
11,E,2,1,3-year,1,low,low,oat,O3,9,7,2,0,11_E_2_1,2019,37,9
11,E,2,3,3-year,1,low,low,oat,O3,1,0,1,0,11_E_2_3,2019,17,1
11,E,3,1,3-year,1,low,low,oat,O3,3,3,0,0,11_E_3_1,2019,92,3
11,E,3,2,3-year,1,low,low,oat,O3,5,2,3,0,11_E_3_2,2019,37,5
