Plot,Block,Side,Crop,Crop_ID,Corn_weed_management,AMATA_number,AMATA_gram,sample_area_m_sq,g_m_sq,plant_m_sq,Year
11,1,W,soybean,S3,conv,5,119.21,18.532,6.432657026,0.269803583,2018
11,1,E,soybean,S3,low,0,0,18.532,0,0,2018
12,1,W,alfalfa,A4,conv,9,1.04,2,0.52,4.5,2018
12,1,E,alfalfa,A4,low,3,0.01,2,0.005,1.5,2018
13,1,W,corn,C2,low,15,30.91,18.532,1.66792575,0.809410749,2018
13,1,E,corn,C2,conv,1,0.37,18.532,0.019965465,0.053960717,2018
14,1,W,soybean,S4,low,7,267.03,18.532,14.40913015,0.377725016,2018
14,1,E,soybean,S4,conv,6,57.37,18.532,3.095726311,0.3237643,2018
15,1,W,corn,C3,conv,1,8.46,18.532,0.456507662,0.053960717,2018
15,1,E,corn,C3,low,0,0,18.532,0,0,2018
16,1,W,oat,O3,conv,39,33.77,2,16.885,19.5,2018
16,1,E,oat,O3,low,97,70.73,2,35.365,48.5,2018
17,1,W,oat,O4,low,64,122.38,2,61.19,32,2018
17,1,E,oat,O4,conv,17,83.33,2,41.665,8.5,2018
18,1,W,corn,C4,low,5,0.2,18.532,0.010792143,0.269803583,2018
18,1,E,corn,C4,conv,0,0,18.532,0,0,2018
19,1,W,soybean,S2,low,83,589.7,18.532,31.82063458,4.478739478,2018
19,1,E,soybean,S2,conv,30,1723.27,18.532,92.98888409,1.618821498,2018
21,2,W,alfalfa,A4,low,2,0.06,2,0.03,1,2018
21,2,E,alfalfa,A4,conv,1,0.18,2,0.09,0.5,2018
22,2,W,oat,O4,conv,23,43.2,2,21.6,11.5,2018
22,2,E,oat,O4,low,56,107.86,2,53.93,28,2018
23,2,W,soybean,S3,conv,5,73.85,18.532,3.984998921,0.269803583,2018
23,2,E,soybean,S3,low,4,100.48,18.532,5.421972804,0.215842866,2018
24,2,W,corn,C2,low,1,0.08,18.532,0.004316857,0.053960717,2018
24,2,E,corn,C2,conv,0,0,18.532,0,0,2018
25,2,W,oat,O3,low,14,50.55,2,25.275,7,2018
25,2,E,oat,O3,conv,55,18.71,2,9.355,27.5,2018
26,2,W,corn,C3,conv,0,0,18.532,0,0,2018
26,2,E,corn,C3,low,1,0.02,18.532,0.001079214,0.053960717,2018
27,2,W,soybean,S2,conv,7,71.23,18.532,3.843621843,0.377725016,2018
27,2,E,soybean,S2,low,8,128.33,18.532,6.924778761,0.431685733,2018
28,2,W,corn,C4,conv,0,0,18.532,0,0,2018
28,2,E,corn,C4,low,2,0.02,18.532,0.001079214,0.107921433,2018
29,2,W,soybean,S4,conv,13,451.52,18.532,24.36434276,0.701489316,2018
29,2,E,soybean,S4,low,11,51.05,18.532,2.754694582,0.593567883,2018
31,3,W,alfalfa,A4,conv,6,0.81,2,0.405,3,2018
31,3,E,alfalfa,A4,low,8,8.77,2,4.385,4,2018
32,3,W,soybean,S4,low,5,227.13,18.532,12.25609756,0.269803583,2018
32,3,E,soybean,S4,conv,8,64.86,18.532,3.499892079,0.431685733,2018
33,3,W,oat,O3,low,60,37.99,2,18.995,30,2018
33,3,E,oat,O3,conv,65,69.31,2,34.655,32.5,2018
34,3,W,corn,C2,low,2,1.66,18.532,0.08957479,0.107921433,2018
34,3,E,corn,C2,conv,6,4.07,18.532,0.219620117,0.3237643,2018
35,3,W,soybean,S2,low,2,122.43,18.532,6.606410533,0.107921433,2018
35,3,E,soybean,S2,conv,4,481.82,18.532,25.99935247,0.215842866,2018
36,3,W,corn,C3,low,1,0.01,18.532,0.000539607,0.053960717,2018
36,3,E,corn,C3,conv,1,0.17,18.532,0.009173322,0.053960717,2018
37,3,W,corn,C4,low,1,0.04,18.532,0.002158429,0.053960717,2018
37,3,E,corn,C4,conv,1,0.28,18.532,0.015109001,0.053960717,2018
38,3,W,soybean,S3,conv,7,316.72,18.532,17.09043816,0.377725016,2018
38,3,E,soybean,S3,low,9,498.21,18.532,26.88376862,0.485646449,2018
39,3,W,oat,O4,low,61,60.57,2,30.285,30.5,2018
39,3,E,oat,O4,conv,9,20.44,2,10.22,4.5,2018
41,4,W,oat,O4,low,29,37.35,2,18.675,14.5,2018
41,4,E,oat,O4,conv,20,48.31,2,24.155,10,2018
42,4,W,oat,O3,conv,36,44.74,2,22.37,18,2018
42,4,E,oat,O3,low,110,82.81,2,41.405,55,2018
43,4,W,alfalfa,A4,conv,0,0,2,0,0,2018
43,4,E,alfalfa,A4,low,0,0,2,0,0,2018
44,4,W,corn,C2,conv,18,53.31,18.532,2.876645802,0.971292899,2018
44,4,E,corn,C2,low,0,0,18.532,0,0,2018
45,4,W,soybean,S2,low,10,987.35,18.532,53.27811353,0.539607166,2018
45,4,E,soybean,S2,conv,7,784.55,18.532,42.33488021,0.377725016,2018
46,4,W,corn,C4,low,5,0.01,18.532,0.000539607,0.269803583,2018
46,4,E,corn,C4,conv,0,0,18.532,0,0,2018
47,4,W,corn,C3,conv,0,0,18.532,0,0,2018
47,4,E,corn,C3,low,4,0.23,18.532,0.012410965,0.215842866,2018
48,4,W,soybean,S3,low,3,246.37,18.532,13.29430175,0.16188215,2018
48,4,E,soybean,S3,conv,27,923.19,18.532,49.81599396,1.456939348,2018
49,4,W,soybean,S4,low,9,240.01,18.532,12.95111159,0.485646449,2018
49,4,E,soybean,S4,conv,5,258.12,18.532,13.92834017,0.269803583,2018
