Plot,Side,Sex,Quadrat,Weight,Color
11,E,F,1,0.9341,plain
11,E,F,2,0.8149,plain
11,E,F,2,0.865,plain
11,E,F,2,1.6427,plain
11,E,F,2,0.1437,plain
11,E,F,2,0.2213,plain
11,E,F,2,0.2458,plain
11,E,F,2,0.5444,plain
11,E,F,3,0.4872,plain
11,E,F,3,0.1142,plain
11,E,F,3,0.1256,plain
11,E,F,3,0.0563,purple
11,E,F,3,0.0856,purple
11,E,F,4,0.3429,plain
11,E,F,4,0.3649,plain
11,E,F,4,0.7507,plain
11,E,F,4,0.1049,plain
11,E,F,4,0.1503,plain
11,E,F,4,0.1904,plain
11,E,F,4,0.0759,red
11,E,F,5,0.0804,blue
11,E,F,5,0.2421,plain
11,E,F,8,0.8047,plain
11,E,F,8,0.3987,plain
11,E,M,2,1.53,plain
11,E,M,2,0.2887,plain
11,E,M,2,0.1187,red
11,E,M,3,0.0324,purple
11,E,M,3,0.0341,purple
11,E,M,3,0.0942,purple
11,E,M,3,0.0192,red
11,E,M,4,1.7008,plain
11,E,M,4,0.1102,plain
11,E,M,4,0.1034,plain
11,E,M,4,0.2183,plain
11,E,M,4,0.0227,yellow
11,E,M,4,0.0404,yellow
11,E,M,4,0.0336,yellow
11,W,F,1,0.0693,plain
11,W,F,1,0.1525,plain
11,W,F,1,1.0545,plain
11,W,F,1,2.9692,plain
11,W,F,4,1.0237,plain
11,W,F,4,0.325,plain
11,W,F,5,0.0572,plain
11,W,F,5,0.0681,plain
11,W,F,5,0.1009,plain
11,W,F,5,0.1162,plain
11,W,F,5,0.1312,plain
11,W,F,5,0.1367,plain
11,W,F,5,0.1859,plain
11,W,F,5,0.4286,plain
11,W,F,5,0.4848,plain
11,W,F,5,0.1926,plain
11,W,F,5,0.0616,purple
11,W,F,5,0.109,purple
11,W,F,8,0.0853,purple
11,W,M,1,0.0502,plain
11,W,M,1,0.2662,plain
11,W,M,1,0.6646,plain
11,W,M,1,0.0671,plain
11,W,M,1,0.2817,plain
11,W,M,2,0.5803,plain
11,W,M,2,0.1048,plain
11,W,M,2,3.7508,plain
11,W,M,5,0.0349,blue
11,W,M,5,0.098,plain
11,W,M,5,0.0462,plain
11,W,M,5,0.0756,plain
11,W,M,5,0.109,plain
11,W,M,5,0.3163,plain
11,W,M,5,0.3425,plain
11,W,M,5,0.1573,plain
11,W,M,8,0.2667,plain
12,E,F,5,0.0155,red
12,E,F,8,0.29,plain
12,E,M,1,0.0197,plain
12,E,M,3,0.0036,red
12,E,M,4,0.0251,orange
12,E,U,8,0.0016,orange
12,E,U,8,0.0073,orange
12,E,U,8,0.0128,plain
12,W,U,2,0.0116,orange
13,E,F,1,0.1205,prism orange
13,W,F,5,4.2383,prism purple
13,W,F,8,0.4017,lime green
14,E,F,1,0.0594,lime green
14,E,F,1,0.287,lime green
14,E,F,1,0.1724,plain
14,E,F,1,0.0234,plain
14,E,F,1,0.0395,plain
14,E,F,1,0.0442,plain
14,E,F,1,0.0657,plain
14,E,F,1,0.1045,plain
14,E,F,1,0.1164,plain
14,E,F,1,0.1278,plain
14,E,F,1,0.5588,teal
14,E,F,1,1.2202,teal
14,E,F,1,1.8339,teal
14,E,F,1,0.1385,teal
14,E,F,1,0.3521,teal
14,E,F,1,0.0899,teal
14,E,F,1,0.1599,teal
14,E,F,1,0.1665,teal
14,E,F,1,0.1897,teal
14,E,F,1,0.343,teal
14,E,F,1,0.8855,teal
14,E,F,1,0.0321,yellow
14,E,F,1,0.0581,yellow
14,E,F,2,0.4057,green
14,E,F,2,0.473,green
14,E,F,2,0.4761,green
14,E,F,2,0.4834,green
14,E,F,2,0.5011,green
14,E,F,2,0.9159,green
14,E,F,2,1.2927,green
14,E,F,2,1.7617,green
