Plot,Side,id,Type,Date,Nseed,Time,Weight,Thousand_weight
11,E,6,Waterhemp-calibration-learn,5/8/19 11:41,3308,28.1 sec,0.70 g,0.21 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:44,3288,32.6 sec,0.60 g,0.18 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:46,3273,29.0 sec,0.70 g,0.21 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:52,3138,30.9 sec,0.60 g,0.19 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:53,3155,29.9 sec,0.70 g,0.22 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:55,3132,33.7 sec,0.60 g,0.19 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:56,3156,26.9 sec,0.60 g,0.19 g
11,E,6,Waterhemp-calibration-learn,5/8/19 11:58,3156,30.7 sec,0.60 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 10:32,610427,337.7 sec,116.50 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 10:38,608241,323.6 sec,116.20 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 10:53,598101,615.2 sec,0.20 g,0.00 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:03,609402,525.2 sec,116.50 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:13,622748,523.3 sec,116.90 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:23,609101,482.2 sec,117.00 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:36,609498,604.2 sec,116.80 g,0.19 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:47,650638,577.8 sec,117.30 g,0.18 g
11,E,40,Waterhemp-calibration-learn,4/22/19 11:59,608718,606.3 sec,117.50 g,0.19 g
11,E,57,Waterhemp-calibration-learn,6/4/19 10:41,10911,35.2 sec,2.10 g,0.19 g
11,E,57,Waterhemp-calibration-learn,6/4/19 10:45,10937,27.1 sec,2.10 g,0.19 g
11,E,57,Waterhemp-calibration-learn,6/4/19 10:52,10907,32.4 sec,2.10 g,0.19 g
11,E,57,Waterhemp-calibration-learn,6/4/19 10:56,10939,31.2 sec,2.10 g,0.19 g
11,E,57,Waterhemp-calibration-learn,6/4/19 10:58,10950,23.6 sec,2.10 g,0.19 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:01,185548,201.9 sec,33.40 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:05,185467,186.3 sec,33.40 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:10,186004,234.0 sec,33.60 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:14,185720,175.2 sec,33.40 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:17,185684,184.7 sec,33.60 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:22,185654,220.9 sec,33.20 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:26,186031,220.9 sec,33.60 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:31,186099,223.0 sec,33.60 g,0.18 g
11,E,63,Waterhemp-calibration-learn,4/22/19 16:35,185834,211.0 sec,33.70 g,0.18 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:08,20544,25.9 sec,3.80 g,0.18 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:10,20802,42.3 sec,3.90 g,0.19 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:11,20711,35.1 sec,3.90 g,0.19 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:13,20792,35.5 sec,3.90 g,0.19 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:15,20757,38.1 sec,3.90 g,0.19 g
11,W,2,Waterhemp-calibration-learn,5/6/19 10:17,20795,36.7 sec,3.80 g,0.18 g
11,W,4,Waterhemp-calibration-learn,6/10/19 19:33,360048,199.5 sec,76.70 g,0.21 g
11,W,4,Waterhemp-calibration-learn,6/10/19 19:45,359878,605.3 sec,0.00 g,0.00 g
11,W,4,Waterhemp-calibration-learn,6/10/19 19:54,359376,487.7 sec,76.50 g,0.21 g
11,W,4,Waterhemp-calibration-learn,6/10/19 19:58,359226,236.8 sec,76.60 g,0.21 g
11,W,4,Waterhemp-calibration-learn,6/10/19 20:06,359633,196.3 sec,76.50 g,0.21 g
11,W,4,Waterhemp-calibration-learn,6/10/19 20:10,359856,202.3 sec,76.50 g,0.21 g
11,W,4,Waterhemp-calibration-learn,6/10/19 20:14,359632,205.6 sec,76.40 g,0.21 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:41,42577,56.9 sec,8.20 g,0.19 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:43,42572,52.8 sec,8.40 g,0.20 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:45,42394,46.8 sec,8.20 g,0.19 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:47,42343,54.5 sec,8.30 g,0.20 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:48,42512,49.5 sec,8.30 g,0.20 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:50,42334,48.5 sec,8.30 g,0.20 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:51,42497,40.6 sec,8.20 g,0.19 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:53,42396,54.1 sec,8.20 g,0.19 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:55,42467,48.7 sec,8.20 g,0.19 g
11,W,5,Waterhemp-calibration-learn,4/19/19 16:57,42366,54.2 sec,8.20 g,0.19 g
11,W,6,Waterhemp-calibration-learn,5/28/19 16:42,13340,30.7 sec,0.00 g,0.00 g
11,W,6,Waterhemp-calibration-learn,5/28/19 16:44,13413,31.0 sec,3.30 g,0.25 g
11,W,6,Waterhemp-calibration-learn,5/28/19 16:45,13296,27.7 sec,3.40 g,0.26 g
11,W,6,Waterhemp-calibration-learn,5/28/19 16:47,13301,36.2 sec,-425.30 g,-31.98 g
11,W,6,Waterhemp-calibration-learn,5/28/19 16:48,13315,29.4 sec,3.30 g,0.25 g
