Date,Plot,Side,Crop,Rotation,Herbicide,Corn_weed_management,id,Full bag weight,Empty bag + tag,Nseed,Biomass,Stem less panicle,Chaffed seeds weight,clean seed weight,Whole
18-Dec,13,W,corn,2-year,low,low,37,58.5,28.8,,29.7,,16.7,,Y
24-Apr,14,W,soybean,4-year,conv,low,18,44.1,29,,15.1,,,,Y
24-Apr,23,W,soybean,3-year,conv,conv,23,65.6,29,,36.6,,,,Y
11-Dec,35,E,soybean,2-year,conv,conv,18,471.4,152.5,,318.9,,345.8,,Y
24-Apr,45,W,corn,2-year,conv,low,27,511.2,127.7,,383.5,,,,Y
16-Jan,48,W,soybean,3-year,conv,low,11,51.2,28.6,,22.6,,,,Y
16-Jan,49,E,soybean,4-year,conv,conv,10,137.7,69.9,,67.8,,,,Y
4-Jan,49,W,soybean,4-year,conv,low,2,119.7,74.9,,44.8,,18.6,,Y
10-Dec,12,E,alfalfa,4-year,conv,conv,1,2.448,1.8513,13,0.5967,.,,0.0025,Y
10-Aug,12,E,alfalfa,4-year,conv,conv,6,2.5321,1.7415,0,0.7906,,,0,Y
21-May,12,E,alfalfa,4-year,conv,conv,18,2.1694,1.7086,5,0.4608,,,0.0014,Y
16-May,12,W,alfalfa,4-year,low,low,1,22.7,20.6,,2.1,,,,Y
20-May,12,W,alfalfa,4-year,low,low,2,1.5904,1.364,0,0.2264,,,0,Y
10-Dec,12,W,alfalfa,4-year,low,low,22,3.593,1.4918,27,2.1012,.,.,0.0075,Y
20-Jul,12,W,alfalfa,4-year,low,low,23,1.8664,1.662,21,0.2044,,,0.0051,Y
20-May,12,W,alfalfa,4-year,low,low,24,1.8237,1.8087,0,0.015,,,0,Y
20-May,12,W,alfalfa,4-year,low,low,25,1.7954,1.7662,0,0.0292,,,0,Y
20-May,12,W,alfalfa,4-year,low,low,26,1.8503,1.7156,0,0.1347,,,0,Y
20-May,12,W,alfalfa,4-year,low,low,27,1.7929,1.7342,2,0.0587,,,0.0008,Y
20-May,21,E,alfalfa,4-year,low,low,1,1.9549,1.7342,13,0.2207,,,0.0027,Y
