Plot,Side,Corn_weed_management,Crop_ID,Rotation,Crop,Block,Year,Total,Female,Male
11,E,low,S3,3-year,soybean,1,2018,99,39,60
11,W,conv,S3,3-year,soybean,1,2018,100,36,64
12,E,low,A4,4-year,alfalfa,1,2018,8,7,1
12,W,conv,A4,4-year,alfalfa,1,2018,37,29,8
13,E,conv,C2,2-year,corn,1,2018,100,61,39
13,W,low,C2,2-year,corn,1,2018,98,53,45
14,E,conv,S4,4-year,soybean,1,2018,106,61,45
14,W,low,S4,4-year,soybean,1,2018,103,46,57
15,E,low,C3,3-year,corn,1,2018,20,17,3
15,W,conv,C3,3-year,corn,1,2018,9,7,2
16,E,low,O3,3-year,oat,1,2018,100,77,23
16,W,conv,O3,3-year,oat,1,2018,100,74,26
17,E,conv,O4,4-year,oat,1,2018,102,81,21
17,W,low,O4,4-year,oat,1,2018,100,82,18
18,E,conv,C4,4-year,corn,1,2018,14,10,4
18,W,low,C4,4-year,corn,1,2018,36,25,11
19,E,conv,S2,2-year,soybean,1,2018,100,40,60
19,W,low,S2,2-year,soybean,1,2018,101,49,52
21,E,conv,A4,4-year,alfalfa,2,2018,80,32,48
21,W,low,A4,4-year,alfalfa,2,2018,67,51,16
22,E,low,O4,4-year,oat,2,2018,101,63,38
22,W,conv,O4,4-year,oat,2,2018,104,88,16
23,E,low,S3,3-year,soybean,2,2018,101,58,43
23,W,conv,S3,3-year,soybean,2,2018,101,51,50
24,E,conv,C2,2-year,corn,2,2018,48,35,13
24,W,low,C2,2-year,corn,2,2018,79,50,29
25,E,conv,O3,3-year,oat,2,2018,102,81,21
25,W,low,O3,3-year,oat,2,2018,102,80,22
26,E,low,C3,3-year,corn,2,2018,16,13,3
26,W,conv,C3,3-year,corn,2,2018,12,6,6
27,E,low,S2,2-year,soybean,2,2018,101,56,45
27,W,conv,S2,2-year,soybean,2,2018,102,44,58
28,E,low,C4,4-year,corn,2,2018,41,21,20
28,W,conv,C4,4-year,corn,2,2018,13,8,5
29,E,low,S4,4-year,soybean,2,2018,100,46,54
29,W,conv,S4,4-year,soybean,2,2018,100,57,43
31,E,low,A4,4-year,alfalfa,3,2018,26,12,14
31,W,conv,A4,4-year,alfalfa,3,2018,28,18,10
32,E,conv,S4,4-year,soybean,3,2018,100,54,46
32,W,low,S4,4-year,soybean,3,2018,101,62,39
33,E,conv,O3,3-year,oat,3,2018,106,90,16
33,W,low,O3,3-year,oat,3,2018,112,93,19
34,E,conv,C2,2-year,corn,3,2018,100,76,24
34,W,low,C2,2-year,corn,3,2018,30,26,4
35,E,conv,S2,2-year,soybean,3,2018,110,80,30
35,W,low,S2,2-year,soybean,3,2018,102,61,41
36,E,conv,C3,3-year,corn,3,2018,3,3,0
36,W,low,C3,3-year,corn,3,2018,37,27,10
37,E,conv,C4,4-year,corn,3,2018,14,11,3
37,W,low,C4,4-year,corn,3,2018,33,21,12
38,E,low,S3,3-year,soybean,3,2018,100,56,44
38,W,conv,S3,3-year,soybean,3,2018,100,60,40
39,E,conv,O4,4-year,oat,3,2018,100,61,39
39,W,low,O4,4-year,oat,3,2018,103,68,35
41,E,conv,O4,4-year,oat,4,2018,104,85,19
41,W,low,O4,4-year,oat,4,2018,106,83,23
42,E,low,O3,3-year,oat,4,2018,109,85,24
42,W,conv,O3,3-year,oat,4,2018,105,67,38
43,E,low,A4,4-year,alfalfa,4,2018,5,3,2
43,W,conv,A4,4-year,alfalfa,4,2018,0,0,0
44,E,low,C2,2-year,corn,4,2018,32,23,9
44,W,conv,C2,2-year,corn,4,2018,103,61,42
45,E,conv,S2,2-year,soybean,4,2018,100,68,32
45,W,low,S2,2-year,soybean,4,2018,100,44,56
46,E,conv,C4,4-year,corn,4,2018,1,1,0
46,W,low,C4,4-year,corn,4,2018,21,17,4
47,E,low,C3,3-year,corn,4,2018,32,23,9
47,W,conv,C3,3-year,corn,4,2018,3,3,0
48,E,conv,S3,3-year,soybean,4,2018,100,52,48
48,W,low,S3,3-year,soybean,4,2018,101,54,47
49,E,conv,S4,4-year,soybean,4,2018,100,58,42
49,W,low,S4,4-year,soybean,4,2018,98,60,38
